Room, startTime, endTime , days, capacity
PRPV 101, 07:00 pm, 09:00 pm, T,24
PRPV 101, 05:00 pm, 06:50 pm, R,12
PRPV 101, 12:40 pm, 02:30 pm, W,12
MSTC 100, 04:10 pm, 05:50 pm, F,0
MSTC 100, 11:10 am, 12:00 pm, TR,100
KLCT 113, 01:50 pm, 02:40 pm, MWF,120
HPCT 102, 01:50 pm, 02:40 pm, MWF,30
EQCT 100, 11:30 am, 01:20 pm, M,8
EQCT 100, 09:35 am, 10:25 am, TR,8
KLCT 121, 09:35 am, 10:25 am, TR,8
KLCT 121, 11:30 am, 01:20 pm, W,8
KLCT 121, 11:30 am, 01:20 pm, F,8
EQCT 100, 01:00 pm, 02:50 pm, M,0
EQCT 100, 09:35 am, 10:25 am, TR,0
KLCT 113, 10:20 am, 11:10 am, MWF,100
HPCT 123, 09:10 am, 10:00 am, MWF,0
KLCT 113, 08:00 am, 08:50 am, MWF,129
KLCT 127, 12:40 pm, 02:30 pm, M,10
KLCT 127, 11:10 am, 12:00 pm, TR,10
HFSB 104, 12:40 pm, 02:30 pm, M,10
HFSB 104, 11:10 am, 12:00 pm, TR,10
KLCT 121, 03:00 pm, 04:50 pm, M,10
KLCT 121, 11:10 am, 12:00 pm, TR,10
HPCT 123, 03:00 pm, 04:50 pm, M,10
HPCT 123, 11:10 am, 12:00 pm, TR,10
KLCT 113, 11:10 am, 12:00 pm, TR,10
KLCT 113, 01:00 pm, 02:50 pm, R,10
MSTC 100, 08:00 am, 08:50 am, MW,9
MSTC 100, 12:40 pm, 03:30 pm, M,9
MSTC 100, 08:00 am, 10:50 am, R,9
MSTC 100, 08:00 am, 10:50 am, T,9
MSTC 100, 12:40 pm, 03:30 pm, R,9
MSTC 100, 08:00 am, 08:50 am, MW,10
MSTC 100, 12:40 pm, 03:30 pm, T,10
MSTC 100, 08:00 am, 10:50 am, F,10
MSTC 100, 12:40 pm, 03:30 pm, W,9
MSTC 100, 12:40 pm, 03:30 pm, F,10
MSTC 100, 11:30 am, 12:20 pm, MW,50
MSTC 100, 04:10 pm, 06:00 pm, M,50
KLCT 123, 11:30 am, 12:20 pm, WF,15
KLCT 123, 03:00 pm, 04:50 pm, W,15
KLCT 123, 01:00 pm, 02:50 pm, T,15
EQCT 100, 03:00 pm, 03:50 pm, MTWRF,0
EQCT 100, 10:20 am, 11:10 am, W,0
EQCT 100, 04:10 pm, 05:00 pm, MTWRF,0
